region,rounded_price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_range
albuquerque,17000,2017,chevrolet,cruze lt hatchback 4d,good,5,other,other,fwd,hatchback,20k-50k
albuquerque,22000,2009,others,sky roadster 2d,good,5,gas,other,rwd,other,0-20k
others,20000,2012,ford,f-250 super duty,excellent,8,diesel,automatic,rwd,truck,200k-300k
others,37000,2019,gmc,sierra 1500 limited double,good,8,gas,other,4wd,pickup,0-20k
columbus,22000,2017,nissan,maxima,good,6,gas,automatic,fwd,sedan,50k-100k
others,15000,2018,hyundai,elantra limited,like new,4,gas,automatic,fwd,sedan,20k-50k
tucson,15000,2016,chevrolet,equinox,good,5,gas,automatic,4wd,SUV,50k-100k
others,45000,2012,ford,f350 super duty,excellent,8,diesel,automatic,4wd,truck,100k-150k
others,9000,1975,mercedes-benz,240d,excellent,4,diesel,manual,rwd,sedan,100k-150k
others,23000,2017,honda,pilot,excellent,6,gas,automatic,4wd,SUV,50k-100k
orange county,20000,2011,chevrolet,camaro ss,like new,8,gas,manual,rwd,coupe,0-20k
rochester,13000,2008,toyota,sequoia,good,5,gas,automatic,4wd,sedan,100k-150k
others,22000,2018,ford,edge,good,5,gas,automatic,4wd,SUV,20k-50k
seattle-tacoma,20000,2005,kia,sedona,good,5,gas,automatic,4wd,sedan,100k-150k
others,40000,2018,jeep,wrangler unlimited all new,good,6,other,other,4wd,other,0-20k
stockton,9000,2014,ford,fusion hybrid se hybrid,excellent,4,hybrid,automatic,4wd,other,100k-150k
others,20000,2015,jeep,grand cherokee,good,6,gas,other,4wd,SUV,50k-100k
others,38000,2017,toyota,tundra double cab limited,good,8,other,automatic,4wd,pickup,20k-50k
others,28000,2018,acura,rdx technology pkg sport,good,6,gas,other,4wd,other,20k-50k
others,8000,1997,jeep,wrangler,good,6,gas,manual,4wd,sedan,150k-200k
san diego,8000,2016,nissan,sentra,excellent,4,gas,automatic,fwd,sedan,50k-100k
others,34000,2016,chevrolet,express commercial cutaway,good,8,gas,automatic,rwd,truck,0-20k
others,31000,2018,mercedes-benz,metris passenger,good,5,gas,other,rwd,van,0-20k
orlando,21000,2011,gmc,yukon,good,5,other,automatic,fwd,SUV,100k-150k
others,12000,2014,nissan,leaf sv hatchback 4d,good,5,gas,other,fwd,hatchback,50k-100k
columbus,20000,1997,bmw,5-series,excellent,8,gas,automatic,4wd,sedan,200k-300k
los angeles,58000,2015,ford,international 4400,excellent,5,diesel,automatic,4wd,sedan,50k-100k
chicago,8000,2016,chevrolet,cruze ls,like new,4,gas,automatic,fwd,sedan,50k-100k
raleigh / durham / CH,14000,2004,bmw,545i sedan,excellent,8,gas,automatic,rwd,sedan,100k-150k
austin,10000,2010,honda,cr-v lx,good,4,gas,automatic,4wd,SUV,100k-150k
"washington, DC",8000,2014,others,3,good,4,gas,automatic,fwd,sedan,50k-100k
north jersey,20000,2004,gmc,envoy slt,excellent,6,gas,automatic,rwd,SUV,100k-150k
others,6000,2003,gmc,envoy,excellent,6,gas,automatic,4wd,SUV,50k-100k
others,36000,2020,dodge,charger,good,5,gas,automatic,rwd,sedan,20k-50k
others,10000,2013,chevrolet,malibu,good,4,gas,automatic,fwd,sedan,50k-100k
albuquerque,19000,2018,others,encore preferred ii sport,good,5,other,other,fwd,other,0-20k
others,38000,2020,ford,f-150,excellent,6,gas,automatic,4wd,truck,0-20k
des moines,35000,2011,ford,super duty f-450 drw,good,8,diesel,automatic,4wd,sedan,100k-150k
others,7000,2001,toyota,mr2 spyder,good,5,gas,manual,fwd,convertible,100k-150k
others,6000,2008,toyota,sienna le,excellent,5,gas,automatic,fwd,mini-van,150k-200k
denver,6000,2011,ford,f-150 xl,good,8,gas,automatic,rwd,truck,200k-300k
others,6000,2012,others,500,like new,4,gas,automatic,fwd,coupe,50k-100k
charlotte,17000,2012,acura,tl sh-awd sedan 4d,good,5,other,other,4wd,sedan,50k-100k
others,21000,2016,ford,expedition,good,6,gas,automatic,rwd,SUV,50k-100k
others,5000,2003,gmc,savannah van,good,6,gas,automatic,rwd,van,200k-300k
others,24000,2015,chevrolet,silverado 2500hd,good,8,gas,automatic,4wd,pickup,100k-150k
others,17000,1967,chevrolet,c10,good,5,gas,automatic,4wd,sedan,50k-100k
others,29000,2017,ram,1500 quad cab express pickup,good,5,other,other,4wd,pickup,20k-50k
others,10000,2018,ford,Suzuki VL1500,good,0,gas,other,4wd,sedan,0-20k
ft myers / SW florida,33000,2019,honda,ridgeline sport pickup 4d,good,6,gas,other,4wd,pickup,0-20k
others,5000,1976,bmw,2002,fair,4,gas,manual,rwd,coupe,100k-150k
others,46000,2017,ram,3500,excellent,5,gas,automatic,4wd,pickup,100k-150k
oklahoma city,20000,2015,others,outlander sport es,excellent,4,gas,automatic,fwd,SUV,50k-100k
others,6000,2013,hyundai,veloster,excellent,4,gas,manual,fwd,coupe,50k-100k
others,28000,2018,others,romeo stelvio ti sport,good,5,gas,other,4wd,hatchback,0-20k
north jersey,35000,2017,jeep,wrangler unlimited willys,good,6,gas,other,4wd,SUV,20k-50k
others,41000,2020,honda,passport elite sport,good,6,gas,other,4wd,other,0-20k
charlotte,14000,2014,ford,explorer,good,5,gas,automatic,4wd,sedan,100k-150k
others,20000,2012,chevrolet,cruze,good,5,gas,manual,4wd,sedan,100k-150k
cincinnati,39000,2018,ford,f-150,excellent,5,gas,automatic,4wd,pickup,20k-50k
others,14000,1996,chevrolet,corvette,good,8,gas,automatic,rwd,convertible,50k-100k
nashville,20000,2012,chevrolet,silverado 1500 lt 4x4,excellent,8,gas,automatic,4wd,truck,150k-200k
others,17000,2014,cadillac,ats,good,4,gas,automatic,4wd,sedan,20k-50k
others,16000,2009,ford,f-350sd xl,good,5,other,automatic,4wd,other,150k-200k
others,14000,2001,ford,ranger,excellent,6,gas,automatic,rwd,pickup,50k-100k
others,20000,2013,ford,Other,good,5,other,other,4wd,other,0-20k
others,4000,2001,honda,accord ex v6,good,6,gas,automatic,fwd,coupe,100k-150k
others,10000,2010,chevrolet,equinox ltz awd,good,5,gas,automatic,4wd,sedan,100k-150k
others,6000,2012,others,eclipse,good,4,gas,automatic,fwd,coupe,100k-150k
others,22000,2011,ford,u WRX,good,4,gas,automatic,4wd,sedan,20k-50k
others,16000,2014,bmw,5 series,good,4,gas,automatic,rwd,sedan,50k-100k
others,6000,2011,nissan,rogue,excellent,4,gas,automatic,fwd,SUV,150k-200k
